1   1 2 4 
2   1 2 4 
3   1 2 3 4 5 
hound   1 2 3 4 5 
baskervil   1 2 3 
arthur   1 2 3 4 5 
conan   1 2 3 4 5 
doyl   1 2 3 4 5 
tabl   1 2 3 4 5 
content   1 2 3 4 5 
mr   1 2 3 4 5 
sherlock   1 2 3 4 5 
holm   1 2 3 4 5 
cur   1 2 4 
problem   1 2 3 4 5 
sir   1 2 3 4 5 
henri   1 2 3 4 
broken   1 2 3 4 5 
thread   1 2 3 4 5 
hall   1 2 3 4 5 
stapleton   1 2 3 
merripit   1 2 3 
hou   1 2 
report   1 2 3 4 5 
dr   1 2 3 4 5 
watson   1 2 3 4 5 
second   1 2 3 4 5 
extract   1 2 3 4 5 
diari   1 2 3 5 
man   1 2 3 4 5 
tor   1 2 3 
death   1 2 3 4 5 
moor   1 2 3 5 
fix   1 2 3 4 5 
net   1 2 3 5 
retrospect   1 2 3 
chapter   1 2 3 4 5 
usual   1 2 3 4 5 
late   1 2 3 4 5 
morn   1 2 3 4 5 
save   1 2 3 4 5 
infrequ   1 2 3 
occa   1 2 
night   1 2 3 4 5 
seat   1 2 3 4 5 
breakfast   1 2 3 4 5 
stood   1 2 3 4 5 
hearthrug   1 2 3 
pick   1 2 3 4 5 
stick   1 2 3 4 5 
visitor   1 2 3 4 5 
left   1 2 3 4 5 
befor   1 2 3 4 5 
fine   1 2 3 4 5 
piec   1 2 3 4 5 
wood   1 2 3 4 5 
bulboushead   1 2 3 
sort   1 2 3 4 5 
known   1 2 3 4 5 
penang   1 2 3 
lawyer   1 2 3 4 5 
head   1 2 3 4 5 
broad   1 2 3 4 5 
silver   1 2 3 4 5 
band   1 2 3 4 5 
nearli   1 2 3 4 5 
inch   1 2 3 4 5 
jame   1 2 3 5 
mortim   1 2 3 5 
mrc   1 2 3 
friend   1 2 3 4 5 
cch   1 2 3 
engrav   1 2 3 4 
date   1 2 3 4 5 
1884   1 2 3 
oldfashion   1 2 3 5 
famili   1 2 3 4 5 
practit   1 2 
carrydignifi   1 2 3 
solid   1 2 3 4 5 
reassur   1 2 3 5 
sit   1 2 3 4 5 
given   1 2 3 4 5 
sign   1 2 3 4 5 
occup   1 2 3 4 5 
know   1 2 3 4 5 
believ   1 2 3 4 5 
eye   1 2 3 4 5 
wellpolish   1 2 3 
silverpl   1 2 3 
coffeepot   1 2 3 
said   1 2 3 4 5 
tell   1 2 3 4 5 
sinc   1 2 3 4 5 
unfortun   1 2 3 4 5 
miss   1 2 3 4 5 
notion   1 2 3 4 5 
errand   1 2 3 5 
accid   1 2 4 5 
souvenir   1 2 3 
import   1 2 3 4 5 
let   1 2 3 4 5 
hear   1 2 3 4 5 
reconstruct   1 2 3 5 
examin   1 2 3 4 5 
think   1 2 3 4 5 
follow   1 2 3 4 5 
far   1 2 3 4 5 
method   1 2 3 4 5 
companion   1 2 3 4 5 
success   1 2 3 4 5 
elderli   1 2 3 4 5 
medic   1 2 3 4 5 
wellesteem   1 2 3 
mark   1 2 3 4 5 
appreci   1 2 3 4 5 
good   1 2 3 4 5 
excel   1 2 3 4 5 
probabl   1 2 3 4 5 
favour   1 2 3 4 5 
countri   1 2 3 4 5 
great   1 2 3 4 5 
deal   1 2 3 4 5 
